                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.53836,                0.36698,                0.88133,                0.87507,                0.80952,                0.83381,                0.47324,                 1.7316,                0.79958,                 1.7747,                0.00703,                0.00703,                0.00703
                     92,                0.55063,                0.37478,                0.88786,                0.92576,                0.79174,                 0.8165,                 0.4491,                 1.7486,                0.84311,                 1.8116,               0.006997,               0.006997,               0.006997
                     93,                0.54443,                0.36468,                0.89719,                0.90947,                0.63788,                0.77269,                0.43627,                  1.757,                 1.0368,                 1.7964,               0.006964,               0.006964,               0.006964
                     94,                0.54683,                0.36147,                0.89207,                0.82209,                0.74603,                0.80341,                0.43953,                 1.7381,                 1.0004,                 1.7946,               0.006931,               0.006931,               0.006931
                     95,                0.54068,                0.35572,                0.88806,                0.84397,                0.77279,                0.77543,                0.42227,                 1.7436,                0.95824,                   1.72,               0.006898,               0.006898,               0.006898
                     96,                0.53906,                0.35799,                0.88336,                0.84412,                0.79365,                0.80498,                0.40649,                 1.8126,                0.87804,                 1.7118,               0.006865,               0.006865,               0.006865
                     97,                0.52158,                0.35487,                 0.8793,                0.81621,                0.77546,                0.82664,                0.40293,                  1.817,                0.89157,                  1.791,               0.006832,               0.006832,               0.006832
                     98,                0.52517,                0.35654,                0.87378,                0.85221,                0.82377,                0.83716,                0.42368,                 1.8254,                0.87701,                 1.8403,               0.006799,               0.006799,               0.006799
                     99,                0.55146,                0.35447,                0.88401,                0.85138,                0.72748,                0.79969,                0.43148,                 1.8218,                0.93227,                 1.8242,               0.006766,               0.006766,               0.006766
                    100,                0.52222,                0.34754,                0.88124,                0.80854,                0.77778,                0.79916,                0.44811,                 1.7322,                0.92793,                 1.6962,               0.006733,               0.006733,               0.006733
                    101,                0.53035,                0.35296,                0.87854,                0.87621,                 0.7619,                0.80655,                0.42883,                 1.6972,                0.86767,                   1.67,                 0.0067,                 0.0067,                 0.0067
                    102,                0.51709,                 0.3532,                0.87354,                0.81903,                0.69841,                0.73183,                0.41983,                 1.6791,                  0.967,                 1.6395,               0.006667,               0.006667,               0.006667
                    103,                0.51176,                0.34396,                 0.8677,                0.84315,                0.66667,                0.74335,                0.42342,                 1.7293,                0.86222,                 1.6822,               0.006634,               0.006634,               0.006634
                    104,                 0.5267,                0.33906,                0.88126,                0.82465,                0.66667,                0.72534,                0.40391,                 1.7419,                0.93642,                 1.7439,               0.006601,               0.006601,               0.006601
                    105,                0.50041,                0.34807,                0.87875,                0.75527,                0.77778,                0.78841,                0.44313,                 1.7385,                 0.9101,                 1.7753,               0.006568,               0.006568,               0.006568
                    106,                0.50368,                0.33907,                 0.8705,                0.83818,                0.74002,                0.81292,                 0.4496,                 1.7841,                0.89759,                 1.8407,               0.006535,               0.006535,               0.006535
                    107,                0.50575,                0.35045,                0.88131,                0.90768,                0.78037,                0.85049,                0.45044,                 1.7795,                 0.8509,                 1.8349,               0.006502,               0.006502,               0.006502
                    108,                0.51702,                0.35321,                0.87723,                0.92275,                0.75846,                0.83018,                0.46512,                 1.6659,                0.87095,                 1.7441,               0.006469,               0.006469,               0.006469
                    109,                0.49088,                 0.3374,                0.87141,                0.88628,                0.74228,                0.80596,                0.45059,                 1.6496,                0.91106,                 1.7418,               0.006436,               0.006436,               0.006436
                    110,                  0.497,                 0.3373,                0.87981,                0.89233,                0.78937,                0.84282,                0.45998,                 1.7388,                0.85187,                 1.8304,               0.006403,               0.006403,               0.006403
                    111,                0.48861,                 0.3314,                0.87165,                0.92221,                0.75279,                0.83031,                0.44025,                 1.8011,                0.86407,                 1.8946,                0.00637,                0.00637,                0.00637
                    112,                 0.4895,                0.33242,                0.86633,                0.86351,                0.77778,                0.82944,                0.47198,                 1.7338,                 0.9216,                 1.8504,               0.006337,               0.006337,               0.006337
                    113,                0.49202,                0.33461,                0.87551,                0.84479,                 0.7619,                0.80063,                0.44636,                  1.701,                0.80839,                 1.7933,               0.006304,               0.006304,               0.006304
                    114,                 0.4824,                0.32874,                0.87856,                0.85917,                0.77473,                0.79064,                0.44947,                 1.6983,                 0.8467,                 1.7904,               0.006271,               0.006271,               0.006271
                    115,                0.46919,                0.32788,                0.86366,                0.87674,                0.77778,                0.82704,                0.46069,                 1.6869,                0.84031,                 1.7818,               0.006238,               0.006238,               0.006238
                    116,                0.47354,                0.32122,                0.86388,                0.88506,                 0.7619,                0.84306,                0.43426,                 1.7745,                0.80771,                 1.8417,               0.006205,               0.006205,               0.006205
                    117,                0.48383,                0.32763,                0.87034,                0.84258,                0.79365,                0.78717,                0.41362,                 1.7522,                0.89818,                  1.829,               0.006172,               0.006172,               0.006172
                    118,                0.48494,                0.33254,                0.86786,                0.87264,                0.77778,                0.77153,                0.41266,                  1.755,                0.95517,                 1.9302,               0.006139,               0.006139,               0.006139
                    119,                0.44969,                0.31301,                0.86097,                0.83011,                 0.7756,                 0.7836,                0.40172,                 1.7919,                0.87094,                 1.9858,               0.006106,               0.006106,               0.006106
                    120,                0.48116,                0.31787,                0.87477,                 0.8422,                0.77778,                 0.7605,                0.42345,                 1.8143,                0.89521,                 1.9455,               0.006073,               0.006073,               0.006073
                    121,                0.46527,                0.31409,                0.87233,                0.88093,                 0.8254,                0.80313,                0.42719,                 1.7529,                0.82025,                 1.8513,                0.00604,                0.00604,                0.00604
